qid	pid
multi-hop-v2-030:second	d000255
multi-hop-v2-031:first	d000125
multi-hop-v2-031:first	d000126
multi-hop-v2-031:second	d000275
multi-hop-v2-032:first	d000129
multi-hop-v2-032:second	d000306
multi-hop-v2-032:second	d000309
multi-hop-v2-033:first	d000133
multi-hop-v2-033:first	d000136
multi-hop-v2-033:second	d000310
multi-hop-v2-033:second	d000316
multi-hop-v2-034:first	d000139
multi-hop-v2-034:first	d000149
multi-hop-v2-034:second	d000317
multi-hop-v2-034:second	d000321
multi-hop-v2-035:first	d000221
multi-hop-v2-035:second	d000492
multi-hop-v2-036:first	d000225
multi-hop-v2-036:second	d000495
multi-hop-v2-037:first	d000233
multi-hop-v2-037:first	d000244
multi-hop-v2-037:second	d000001
multi-hop-v2-038:first	d000249
multi-hop-v2-038:second	d000003
multi-hop-v2-039:first	d000253
multi-hop-v2-039:first	d000255
multi-hop-v2-039:second	d000007
multi-hop-v2-039:second	d000008
multi-hop-v2-040:first	d000271
multi-hop-v2-040:second	d000014
multi-hop-v2-040:second	d000016
multi-hop-v2-041:first	d000275
multi-hop-v2-041:second	d000017
multi-hop-v2-041:second	d000025
multi-hop-v2-042:first	d000164
multi-hop-v2-042:first	d000168
multi-hop-v2-042:second	d000323
multi-hop-v2-043:first	d000174
multi-hop-v2-043:second	d000346
multi-hop-v2-043:second	d000359
multi-hop-v2-044:first	d000285
multi-hop-v2-044:second	d000072
multi-hop-v2-044:second	d000073
multi-hop-v2-045:first	d000185
multi-hop-v2-045:second	d000360
multi-hop-v2-045:second	d000362
multi-hop-v2-046:first	d000296
multi-hop-v2-046:first	d000303
multi-hop-v2-046:second	d000084
multi-hop-v2-047:first	d000306
multi-hop-v2-047:first	d000309
multi-hop-v2-047:second	d000091
multi-hop-v2-047:second	d000093
multi-hop-v2-048:first	d000310
multi-hop-v2-048:first	d000316
multi-hop-v2-048:second	d000095
multi-hop-v2-048:second	d000101
multi-hop-v2-049:first	d000317
multi-hop-v2-049:first	d000321
multi-hop-v2-049:second	d000106
multi-hop-v2-049:second	d000108
multi-hop-v2-050:first	d000323
multi-hop-v2-050:second	d000111
multi-hop-v2-050:second	d000118
multi-hop-v2-051:first	d000346
multi-hop-v2-051:first	d000359
multi-hop-v2-051:second	d000122
multi-hop-v2-051:second	d000123
multi-hop-v2-052:first	d000360
multi-hop-v2-052:first	d000362
multi-hop-v2-052:second	d000125
multi-hop-v2-052:second	d000126
multi-hop-v2-053:first	d000367
multi-hop-v2-053:first	d000368
multi-hop-v2-053:second	d000129
multi-hop-v2-054:first	d000370
multi-hop-v2-054:second	d000133
multi-hop-v2-054:second	d000136
multi-hop-v2-055:first	d000374
multi-hop-v2-055:second	d000139
multi-hop-v2-055:second	d000149
multi-hop-v2-056:first	d000376
multi-hop-v2-056:first	d000384
multi-hop-v2-056:second	d000150
multi-hop-v2-056:second	d000152
multi-hop-v2-057:first	d000386
multi-hop-v2-057:second	d000153
multi-hop-v2-057:second	d000156
multi-hop-v2-058:first	d000398
multi-hop-v2-058:second	d000157
multi-hop-v2-059:first	d000413
multi-hop-v2-059:second	d000164
multi-hop-v2-059:second	d000168
multi-hop-v2-060:first	d000418
multi-hop-v2-060:first	d000419
multi-hop-v2-060:second	d000174
multi-hop-v2-061:first	d000432
multi-hop-v2-061:second	d000181
multi-hop-v2-062:first	d000436
multi-hop-v2-062:second	d000185
multi-hop-v2-063:first	d000190
multi-hop-v2-063:second	d000367
multi-hop-v2-063:second	d000368
multi-hop-v2-064:first	d000455
multi-hop-v2-064:second	d000190
multi-hop-v2-065:first	d000458
multi-hop-v2-065:second	d000192
multi-hop-v2-066:first	d000473
multi-hop-v2-066:second	d000202
multi-hop-v2-067:first	d000221
multi-hop-v2-067:second	d000370
multi-hop-v2-068:first	d000480
multi-hop-v2-068:second	d000209
multi-hop-v2-069:first	d000491
multi-hop-v2-069:second	d000210
multi-hop-v2-069:second	d000213
multi-hop-v2-070:first	d000492
multi-hop-v2-070:second	d000218
multi-hop-v2-071:first	d000495
multi-hop-v2-071:second	d000221
multi-hop-v2-072:first	d000001
multi-hop-v2-072:second	d000139
multi-hop-v2-072:second	d000149
multi-hop-v2-073:first	d000003
multi-hop-v2-073:second	d000150
multi-hop-v2-073:second	d000152
multi-hop-v2-074:first	d000007
multi-hop-v2-074:first	d000008
multi-hop-v2-074:second	d000153
multi-hop-v2-074:second	d000156
multi-hop-v2-075:first	d000014
multi-hop-v2-075:first	d000016
multi-hop-v2-075:second	d000157
multi-hop-v2-076:first	d000017
multi-hop-v2-076:first	d000025
multi-hop-v2-076:second	d000164
multi-hop-v2-076:second	d000168
multi-hop-v2-077:first	d000039
multi-hop-v2-077:second	d000174
multi-hop-v2-078:first	d000225
multi-hop-v2-078:second	d000386
multi-hop-v2-079:first	d000072
multi-hop-v2-079:first	d000073
multi-hop-v2-079:second	d000185
multi-hop-v2-080:first	d000076
multi-hop-v2-080:second	d000188
multi-hop-v2-081:first	d000084
multi-hop-v2-081:second	d000190
multi-hop-v2-082:first	d000233
multi-hop-v2-082:first	d000244
multi-hop-v2-082:second	d000398
multi-hop-v2-083:first	d000095
multi-hop-v2-083:first	d000101
multi-hop-v2-083:second	d000202
multi-hop-v2-084:first	d000106
multi-hop-v2-084:first	d000108
multi-hop-v2-084:second	d000203
multi-hop-v2-085:first	d000111
multi-hop-v2-085:first	d000118
multi-hop-v2-085:second	d000209
multi-hop-v2-086:first	d000122
multi-hop-v2-086:first	d000123
multi-hop-v2-086:second	d000210
multi-hop-v2-086:second	d000213
multi-hop-v2-087:first	d000125
multi-hop-v2-087:first	d000126
multi-hop-v2-087:second	d000218
multi-hop-v2-088:first	d000129
multi-hop-v2-088:second	d000221
multi-hop-v2-089:first	d000133
multi-hop-v2-089:first	d000136
multi-hop-v2-089:second	d000225
multi-hop-v2-090:first	d000139
multi-hop-v2-090:first	d000149
multi-hop-v2-090:second	d000233
multi-hop-v2-090:second	d000244
multi-hop-v2-091:first	d000150
multi-hop-v2-091:first	d000152
multi-hop-v2-091:second	d000249
multi-hop-v2-092:first	d000153
multi-hop-v2-092:first	d000156
multi-hop-v2-092:second	d000253
multi-hop-v2-092:second	d000255
multi-hop-v2-093:first	d000249
multi-hop-v2-093:second	d000413
multi-hop-v2-094:first	d000164
multi-hop-v2-094:first	d000168
multi-hop-v2-094:second	d000275
multi-hop-v2-095:first	d000174
multi-hop-v2-095:second	d000278
multi-hop-v2-096:first	d000181
multi-hop-v2-096:second	d000283
multi-hop-v2-097:first	d000185
multi-hop-v2-097:second	d000285
multi-hop-v2-098:first	d000253
multi-hop-v2-098:first	d000255
multi-hop-v2-098:second	d000432
multi-hop-v2-099:first	d000190
multi-hop-v2-099:second	d000296
multi-hop-v2-099:second	d000303
multi-hop-v2-100:first	d000192
multi-hop-v2-100:second	d000306
multi-hop-v2-100:second	d000309
